,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,open_delay,close_delay,high_delay,low_delay,pctChg_delay,date_delay
74,2015-04-27,sh.600519,257.58,267.8,252.99,255.79,258.49,7897335,2050832432.0,0.691537,-1.0445,18.239515,5.055096,8.746947,47.708498,253.8,256.4,262.97,252.5,0.7782,2015-05-13
75,2015-04-28,sh.600519,254.0,258.6,247.05,247.89,255.79,8729177,2187970736.0,0.764378,-3.0885,17.676193,4.898971,8.4768,46.235035,256.25,251.41,259.5,251.22,-1.9462,2015-05-14
76,2015-04-29,sh.600519,246.1,253.0,246.1,249.78,247.89,5930057,1477767696.0,0.51927,0.7624,17.810963,4.936322,8.54143,46.587547,251.41,245.17,253.49,241.61,-2.482,2015-05-15
77,2015-04-30,sh.600519,251.15,254.9,247.75,252.23,249.78,6406407,1610938048.0,0.560982,0.9809,17.985664,4.984741,8.62521,47.044507,245.0,241.14,245.0,240.1,-1.6438,2015-05-18
78,2015-05-04,sh.600519,252.66,259.0,250.02,254.97,252.23,5473902,1398337296.0,0.479327,1.0863,18.181044,5.038891,8.718907,47.555556,241.05,250.04,250.22,240.2,3.6908,2015-05-19
79,2015-05-05,sh.600519,252.0,252.0,239.88,240.95,254.97,7370003,1801146752.0,0.64536,-5.4987,17.181325,4.761818,8.239481,44.940626,252.0,253.95,260.0,249.3,1.5638,2015-05-20
80,2015-05-06,sh.600519,243.98,246.99,240.01,242.68,240.95,6032432,1472597536.0,0.528235,0.718,17.304686,4.796007,8.29864,45.263295,256.0,258.59,261.3,254.01,1.8271,2015-05-21
81,2015-05-07,sh.600519,245.0,251.88,242.56,244.93,242.68,6810290,1693825904.0,0.596349,0.9271,17.465126,4.840473,8.375581,45.682953,259.68,275.86,276.8,259.59,6.6785,2015-05-22
82,2015-05-08,sh.600519,246.12,254.88,245.9,254.17,244.93,5780559,1447670272.0,0.506179,3.7725,18.123999,5.023081,8.69155,47.406345,270.0,286.83,288.49,269.0,3.9767,2015-05-25
83,2015-05-11,sh.600519,251.5,257.99,250.0,257.44,254.17,6134570,1552417968.0,0.537179,1.2865,18.357171,5.087705,8.80337,48.016247,286.6,285.54,290.0,283.96,-0.4497,2015-05-26
84,2015-05-12,sh.600519,257.2,257.2,252.0,254.42,257.44,4703129,1193035136.0,0.411833,-1.1731,18.141825,5.028021,8.700099,47.452973,285.52,276.9,289.32,273.0,-3.0259,2015-05-27
85,2015-05-13,sh.600519,253.8,262.97,252.5,256.4,254.42,5891341,1520374560.0,0.51588,0.7782,18.283012,5.067151,8.767807,47.822272,275.25,261.11,281.0,260.1,-5.7024,2015-05-28
86,2015-05-14,sh.600519,256.25,259.5,251.22,251.41,256.4,4185329,1062504720.0,0.366492,-1.9462,17.927192,4.968536,8.59717,46.891565,260.01,263.83,269.0,259.89,1.0417,2015-05-29
87,2015-05-15,sh.600519,251.41,253.49,241.61,245.17,251.41,5418507,1333031168.0,0.474476,-2.482,17.482239,4.845216,8.383788,45.727716,263.94,271.46,272.98,259.8,2.892,2015-06-01
88,2015-05-18,sh.600519,245.0,245.0,240.1,241.14,245.17,3536324,856505072.0,0.309661,-1.6438,17.194874,4.765573,8.245979,44.976063,270.5,266.62,270.5,260.66,-1.783,2015-06-02
89,2015-05-19,sh.600519,241.05,250.22,240.2,250.04,241.14,4763777,1174434448.0,0.417144,3.6908,17.829502,4.941461,8.550321,46.636041,265.18,262.79,266.62,260.01,-1.4365,2015-06-03
90,2015-05-20,sh.600519,252.0,260.0,249.3,253.95,250.04,6377150,1631009456.0,0.55842,1.5638,18.108311,5.018733,8.684027,47.365312,262.98,258.21,265.0,240.0,-1.7428,2015-06-04
91,2015-05-21,sh.600519,256.0,261.3,254.01,258.59,253.95,4766913,1230234944.0,0.417419,1.8271,18.439174,5.110432,8.842696,48.230738,258.11,253.84,262.1,246.0,-1.6924,2015-06-05
92,2015-05-22,sh.600519,259.68,276.8,259.59,275.86,258.59,6664906,1779754352.0,0.583618,6.6785,19.670639,5.451733,9.433257,51.45184,251.51,264.64,267.54,249.8,4.2547,2015-06-08
93,2015-05-25,sh.600519,270.0,288.49,269.0,286.83,275.86,6747362,1868570176.0,0.590838,3.9767,20.452872,5.66853,9.808385,53.497903,265.0,259.03,269.8,256.5,-2.1199,2015-06-09
94,2015-05-26,sh.600519,286.6,290.0,283.96,285.54,286.83,6091468,1746031120.0,0.533404,-0.4497,20.360887,5.643036,9.764273,53.257299,255.64,261.05,266.88,253.8,0.7798,2015-06-10
95,2015-05-27,sh.600519,285.52,289.32,273.0,276.9,285.54,4693479,1309260000.0,0.410988,-3.0259,19.744798,5.472286,9.468821,51.645815,260.0,260.06,264.5,257.77,-0.3792,2015-06-11
96,2015-05-28,sh.600519,275.25,281.0,260.1,261.11,276.9,6088499,1650995552.0,0.533144,-5.7024,18.618866,5.160234,8.928869,48.700754,262.12,266.0,273.0,261.0,2.2841,2015-06-12
97,2015-05-29,sh.600519,260.01,269.0,259.89,263.83,261.11,5778309,1531805536.0,0.505982,1.0417,18.81282,5.213988,9.021882,49.208073,266.98,260.89,272.0,260.08,-1.921,2015-06-15
98,2015-06-01,sh.600519,263.94,272.98,259.8,271.46,263.83,6581670,1747123648.0,0.576329,2.892,19.35689,5.364777,9.282796,50.631177,259.0,253.95,265.8,252.5,-2.6601,2015-06-16
99,2015-06-02,sh.600519,270.5,270.5,260.66,266.62,271.46,6463560,1708951664.0,0.565987,-1.783,19.011766,5.269126,9.117288,49.728448,253.96,255.09,257.76,249.0,0.4489,2015-06-17
100,2015-06-03,sh.600519,265.18,266.62,260.01,262.79,266.62,4642403,1218378720.0,0.406516,-1.4365,18.738661,5.193435,8.986318,49.014098,253.02,243.97,254.8,240.6,-4.3592,2015-06-18
101,2015-06-04,sh.600519,262.98,265.0,240.0,258.21,262.79,9236273,2332785392.0,0.808782,-1.7428,18.412077,5.102922,8.829701,48.159863,245.87,235.31,248.49,234.02,-3.5496,2015-06-19
102,2015-06-05,sh.600519,258.11,262.1,246.0,253.84,258.21,8573823,2188974560.0,0.750774,-1.6924,18.100467,5.016559,8.680265,47.344795,239.8,252.25,255.85,234.13,7.199,2015-06-23
103,2015-06-08,sh.600519,251.51,267.54,249.8,264.64,253.84,9600797,2462736704.0,0.840702,4.2547,18.870579,5.229996,9.04958,49.35915,250.0,261.21,265.2,247.65,3.552,2015-06-24
104,2015-06-09,sh.600519,265.0,269.8,256.5,259.03,264.64,7785186,2045525408.0,0.681716,-2.1199,18.470549,5.119127,8.857742,48.312804,261.5,251.79,262.03,250.21,-3.6063,2015-06-25
105,2015-06-10,sh.600519,255.64,266.88,253.8,261.05,259.03,8046208,2096832880.0,0.704573,0.7798,18.614588,5.159048,8.926817,48.689563,250.02,242.45,255.75,235.3,-3.7094,2015-06-26
106,2015-06-11,sh.600519,260.0,264.5,257.77,260.06,261.05,5295454,1378413760.0,0.463701,-0.3792,18.543994,5.139483,8.892963,48.504914,248.37,246.64,256.5,227.8,1.7282,2015-06-29
107,2015-06-12,sh.600519,262.12,273.0,261.0,266.0,260.06,9090952,2438986512.0,0.796057,2.2841,18.967556,5.256873,9.096087,49.612809,246.64,257.65,259.82,246.0,4.464,2015-06-30
108,2015-06-15,sh.600519,266.98,272.0,260.08,260.89,266.0,10001422,2664672592.0,0.875783,-1.921,18.603179,5.155886,8.921346,48.659721,255.0,257.49,268.5,250.98,-0.0621,2015-07-01
109,2015-06-16,sh.600519,259.0,265.8,252.5,253.95,260.89,6930384,1789696032.0,0.606865,-2.6601,18.108311,5.018733,8.684027,47.365312,255.3,260.3,282.6,245.01,1.0913,2015-07-02
110,2015-06-17,sh.600519,253.96,257.76,249.0,255.09,253.95,5838881,1478407040.0,0.511286,0.4489,18.189601,5.041262,8.72301,47.577938,255.0,249.81,260.5,242.2,-4.03,2015-07-03
111,2015-06-18,sh.600519,253.02,254.8,240.6,243.97,255.09,6150650,1530836128.0,0.538587,-4.3592,17.396671,4.821501,8.342753,45.503899,267.95,254.04,267.99,239.5,1.6933,2015-07-06
112,2015-06-19,sh.600519,245.87,248.49,234.02,235.31,243.97,6760866,1646002768.0,0.592021,-3.5496,16.779156,4.650356,8.046617,43.888685,250.0,244.18,256.58,239.5,-3.8813,2015-07-07
113,2015-06-23,sh.600519,239.8,255.85,234.13,252.25,235.31,8124734,1989068144.0,0.711449,7.199,17.98709,4.985136,8.625894,47.048237,229.0,236.86,244.99,219.76,-2.9978,2015-07-08
114,2015-06-24,sh.600519,250.0,265.2,247.65,261.21,252.25,9570694,2463553856.0,0.838066,3.552,18.625997,5.16221,8.932289,48.719406,236.86,257.94,260.41,233.0,8.8998,2015-07-09
115,2015-06-25,sh.600519,261.5,262.03,250.21,251.79,261.21,6652166,1707385600.0,0.582502,-3.6063,17.954289,4.976045,8.610164,46.962441,257.0,265.59,283.0,251.96,2.9658,2015-07-10
116,2015-06-26,sh.600519,250.02,255.75,235.3,242.45,251.79,9933201,2451381600.0,0.869809,-3.7094,17.288285,4.791462,8.290775,45.220397,258.0,257.75,265.58,251.0,-2.9519,2015-07-13
117,2015-06-29,sh.600519,248.37,256.5,227.8,246.64,242.45,16507167,4057069904.0,1.445464,1.7282,17.58706,4.874268,8.434056,46.001892,255.0,249.05,255.18,247.2,-3.3754,2015-07-14
118,2015-06-30,sh.600519,246.64,259.82,246.0,257.65,246.64,12629819,3205285536.0,1.105941,4.464,18.372145,5.091855,8.810551,48.055415,247.5,251.26,252.7,243.28,0.8874,2015-07-15
119,2015-07-01,sh.600519,255.0,268.5,250.98,257.49,257.65,10332654,2696026032.0,0.904787,-0.0621,18.360736,5.088693,8.80508,48.025572,251.26,251.59,254.18,248.26,0.1313,2015-07-16
120,2015-07-02,sh.600519,255.3,282.6,245.01,260.3,257.49,11845972,3011363680.0,1.037302,1.0913,18.561108,5.144226,8.90117,48.549678,229.0,228.29,229.99,224.74,1.5796,2015-07-17
121,2015-07-03,sh.600519,255.0,260.5,242.2,249.81,260.3,10960531,2772183168.0,0.959768,-4.03,17.813102,4.936915,8.542456,46.593142,227.15,225.11,227.9,222.5,-1.393,2015-07-20
122,2015-07-06,sh.600519,267.95,267.99,239.5,254.04,249.81,27279966,7012491264.0,2.388793,1.6933,18.114729,5.020511,8.687105,47.382098,221.75,221.66,224.2,220.0,-1.5326,2015-07-21
123,2015-07-07,sh.600519,250.0,256.58,239.5,244.18,254.04,16756224,4121731568.0,1.467273,-3.8813,17.411646,4.825651,8.349934,45.543067,220.0,217.13,222.0,216.58,-2.0437,2015-07-22
124,2015-07-08,sh.600519,229.0,244.99,219.76,236.86,244.18,28914054,6738026752.0,2.531883,-2.9978,16.889681,4.680989,8.09962,44.177782,217.99,219.54,220.6,215.77,1.1099,2015-07-23
125,2015-07-09,sh.600519,236.86,260.41,233.0,257.94,236.86,13820334,3409950544.0,1.210189,8.8998,18.392824,5.097586,8.820468,48.109504,220.5,219.21,223.69,218.75,-0.1503,2015-07-24
